UUID,super_book_code,primary_author_name,full_book_title,stated_publication_years,illegal_date
NA,spbk0000029,"Robert, Louise-Félicité Guinement de Keralio, madame","Adelaïde, ou Mémoires de la marquise de M***",1783,NA
NA,spbk0000029,"Robert, Louise-Félicité Guinement de Keralio, madame","Adelaïde, ou Mémoires de la marquise de M*** écrits par elle-même",1782,NA
NA,spbk0000031,"Fonson, Michel J.",Adieux de soeur Rose à son cloître,1784,NA
NA,spbk0000032,"Necker, Jacques",Administration (de l') des finances de la France,1785,NA
NA,spbk0000033,"Pellissery, Roch-Antoine [de]","Administration politique de Colbert: ouvrage qui par son érudition, ses principes économiques, calculs politiques &c. peut servir de repertoire universel des connoissances nécessaires à ses administrateurs",1776,NA
NA,spbk0000034,"Saint-Victor, Guillemain [de]","Adoption, ou la maçonnerie des femmes en trois gradés",100070075,NA
NA,spbk0000035,"Genlis, Stéphanie Félicité [comtesse de]","Adèle et Théodore ou Lettres sur l'éducation, contenant tous les principes relatifs aux trois différens plans d'éducation des princes, des jeunes personnes, & des hommes  ",NA,NA
NA,spbk0000036,"Genlis, Stéphanie Félicité [comtesse de]","Agar dans le desert, comédie",NA,NA
NA,spbk0000038,"Alletz, Pons Augustin","Agronome (l'), ou Dictionnaire portatif du cultivateur",1780,NA
NA,spbk0000039,Albert le Grand,"Admirables (les) Secrets d'Albert le Grand, contenant plusieurs traités sur la conception des femmes et les vertus des herbes, des pierres précieuses, etc.",NA,NA
NA,spbk0000040,"Alletz, Pons Augustin","Albert (l') moderne, ou nouveaux secrets éprouvés et licites, recueillis d'après les découvertes les plus récentes",NA,NA
NA,spbk0000042,NA,Secrets merveilleux de la magie naturelle et cabalistique du petit Albert,NA,NA
NA,spbk0000043,"Abbizzi de Pise, Barthélemy","Alcoran (l') des Cordeliers, tant en latin qu'en français, ou recueil des plus notables bourdes et blasphèmes impudents de ceux qui ont osé comparer S. François à Jésus-Christ, tiré du grand livre des conformités, jadis composé par frère Barthélemy de Pise, Cordelier en son vivant",NA,NA
NA,spbk0000044,"Zannowich, Stephano","Stiepan-Annibale d'Albanie a Fréderic-Guillaume de Prusse. Epître pathétique, philosophique, historique, &c., ou, L'Alcoran des princes destinés au trone",1783,NA
NA,spbk0000045,"Haller, Albrecht [von]","Alfred, Roi des Anglo-Saxons... Traduit de l’Allemand (par C. P.)",1775,NA
NA,spbk0000046,"Guillard de Beaurieu, Gaspard","Allaitement (de l') et de la premiere éducation des enfans, par l'auteur de l'Éleve de la nature",1782,NA
NA,spbk0000047,NA,Almanach de Neuchâtel,NA,NA
NA,spbk0000048,NA,Almanach royal,NA,NA
NA,spbk0000050,NA,Almanach de Cabinet,NA,NA
NA,spbk0000052,"Bérenger, Jean-Pierre",Amans (les) républicains: ou Lettres de Nicias et Cynire.,1783,NA
NA,spbk0000053,Hélaine [abbé],"Amans (les) vertueux, ou Lettres d'une jeune dame écrites de la campagne à son amie de Londres",1774,NA
