super_book_title,super_book_code,high_level_keyword,parisian_keyword
Hazard (le) du coin du feu,spbk0001019,pk015,Belles-Lettres
Helviennes (les),spbk0001020,pk015,Belles-Lettres
Henriade (la),spbk0001022,pk015,Belles-Lettres
Henriette de Gerstenfeld,spbk0001023,pk015,Belles-Lettres
"Nouvelles (les) de Marguerite, reine de Navarre / Heptameron françois",spbk0001025,pk015,Belles-Lettres
Hermite (l') philosophe,spbk0001026,pk105,Science et Arts
Héros (le) de Baltasar Gracien,spbk0001027,pk105,Science et Arts
Quatre (les) heures de la toilette des dames,spbk0001029,pk015,Belles-Lettres
Hipparchie et Cratès,spbk0001030,pk015,Belles-Lettres
Avantures de Joseph Andrews,spbk0001031,pk015,Belles-Lettres
Aventures de Roderik Random,spbk0001032,pk015,Belles-Lettres
Histoire et aventures de Sir Williams Pickle,spbk0001033,pk015,Belles-Lettres
Histoire et vie de l'Arrétin,spbk0001034,pk015,Belles-Lettres
Histoire politique du siècle,spbk0001035,pk036,Histoire
Histoire (l') romaine de Saluste,spbk0001036,pk036,Histoire
Histoire amoureuse des Gaules,spbk0001037,pk015,Belles-Lettres
Histoire ancienne,spbk0001038,pk036,Histoire
Histoire critique de Jésus-Christ,spbk0001039,pk106,Théologie
Histoire d'Agathon,spbk0001040,pk015,Belles-Lettres
"Histoire générale de l'Asie, de l'Afrique et de l'Amérique",spbk0001041,pk036,Histoire
Histoire d'Assyrie,spbk0001042,pk036,Histoire
Histoire d'Ecosse sous les regnes de Marie Stuart et de Jacques VI,spbk0001043,pk036,Histoire
Histoire d'Eric XIV,spbk0001044,pk036,Histoire
Histoire d'Iris,spbk0001045,pk015,Belles-Lettres
Histoire d'un pou françois,spbk0001048,pk036,Histoire
Histoire d'un voyage fait aux Isles Malouines,spbk0001049,pk036,Histoire
Histoire d'un détention de trente-neuf ans,spbk0001050,pk015,Belles-Lettres
Jezennemours,spbk0001051,pk015,Belles-Lettres
Histoire de la maison de Brunswick,spbk0001052,pk036,Histoire
Geschichte Christian des Vierten Königs in Dännemark,spbk0001055,pk036,Histoire
Histoire de l'admirable Don Quichotte de la Manche,spbk0001056,pk015,Belles-Lettres
Histoire de Genève,spbk0001061,pk036,Histoire
Histoire de Guzman d'Alfarache,spbk0001064,pk015,Belles-Lettres
Histoire de Hesse,spbk0001065,pk036,Histoire
Histoire de Miss Jenny,spbk0001066,pk015,Belles-Lettres
Histoire de Jenni,spbk0001067,pk015,Belles-Lettres
Jonathan Wild le Grand,spbk0001068,pk015,Belles-Lettres
Histoire de Monsieur Montague,spbk0001069,pk015,Belles-Lettres
Histoire de Messieurs Paris,spbk0001070,pk105,Science et Arts
Histoire de Mademoiselle Brion,spbk0001072,NA,NA
Histoire de mademoiselle Cronel,spbk0001073,pk015,Belles-Lettres
Histoire de Mlle de Morsan,spbk0001074,pk015,Belles-Lettres
Histoire de Marguerite fille de Suzon,spbk0001075,pk015,Belles-Lettres
"Histoire de Maurice, comte de Saxe",spbk0001076,pk036,Histoire
"Histoire et anecdotes de la vie, du règne, du détrônement et de la mort de Pierre III",spbk0001079,pk036,Histoire
Histoire de l'empire de Russie sous Pierre le Grand,spbk0001080,pk036,Histoire
Histoire de Rhedy,spbk0001082,pk015,Belles-Lettres
Histoire de Russie,spbk0001083,pk036,Histoire
Histoire de Socivizca,spbk0001084,pk036,Histoire
Tom Jones,spbk0001085,pk015,Belles-Lettres
Histoire de François Wills,spbk0001086,pk015,Belles-Lettres
Histoire de l'empire Ottoman,spbk0001089,pk036,Histoire
Histoire de l'isle de Corse,spbk0001090,pk036,Histoire
Histoire de l'abdication de Victor Amédée,spbk0001091,pk036,Histoire
Histoire de l'art chez les anciens,spbk0001092,pk105,Science et Arts
Histoire de l'éléphantiasis,spbk0001093,pk105,Science et Arts
Histoire de l'homme,spbk0001094,pk036,Histoire
Histoire de l'établissement du christianisme,spbk0001096,NA,NA
Histoire de la Confédération helvétique,spbk0001100,pk036,Histoire
Histoire de la passion de notre Seigneur Jésus-Christ,spbk0001102,pk106,Théologie
Histoire des révolutions de Portugal,spbk0001103,pk036,Histoire
Revolutions de Suede,spbk0001104,pk036,Histoire
Histoire de la dernière guerre entre les Russes et les Turcs,spbk0001108,pk036,Histoire
Histoire de la guerre de 1741,spbk0001109,pk036,Histoire
Histoire de la guerre et des négociations qui ont précédé le traité de Teschen,spbk0001110,pk036,Histoire
Histoire de la Moldavie et de la Valachie,spbk0001111,pk036,Histoire
Histoire de la poésie espagnole,spbk0001113,pk015,Belles-Lettres
Histoire de la réformation de la Suisse,spbk0001114,pk036,Histoire
Histoire de la vie et de la mort tragique de Bianca Capello,spbk0001115,pk036,Histoire
Histoire de la ville de Rouen,spbk0001117,pk036,Histoire
Histoire des religieux de la Compagnie de Jesus,spbk0001118,pk036,Histoire
Histoire des conquêtes de Gustave-Adolfe,spbk0001119,pk036,Histoire
"Histoire des conquêtes de Gustave-Adolfe, roi de Suède, en Allemagne ou Campagnes de ce monarque en 1630, 1631, 1632, précédées d'une introduction contenant l'origine & le commencement de la guerre de Trente ans",spbk0001120,pk036,Histoire
Histoire des diables modernes,spbk0001121,pk015,Belles-Lettres
Histoire des empereurs romains,spbk0001124,pk036,Histoire
Histoire de la persécution intentée en 1775 aux francs-maçons de Naples,spbk0001125,pk036,Histoire
Histoire des gouvernemens du nord,spbk0001126,pk036,Histoire
Histoire des insectes utiles et nuisibles,spbk0001127,pk105,Science et Arts
Histoire des poissons,spbk0001129,pk105,Science et Arts
Histoire des plantes vénéneuses de la Suisse,spbk0001130,pk105,Science et Arts
Histoire des révolutions arrivées dans le gouvernement de la république romaine,spbk0001132,pk036,Histoire
Histoire généalogique des sires de Salins,spbk0001134,pk082,Jurisprudence
Histoire du Bas-Empire,spbk0001135,pk036,Histoire
Histoire du Calvinisme,spbk0001136,pk036,Histoire
Histoire de Charles XII,spbk0001137,pk036,Histoire
Histoire du cardinal de Polignac,spbk0001141,pk036,Histoire
Histoire du procès du chancelier Poyet,spbk0001142,pk036,Histoire
"Histoire du chevalier des Grieux, et de Manon Lescaut",spbk0001143,pk015,Belles-Lettres
Histoire du concile de Trente,spbk0001144,pk036,Histoire
Histoire du Parlement d'angleterre,spbk0001147,pk036,Histoire
Histoire du Parlement de Paris,spbk0001148,pk036,Histoire
Histoire du peuple d'Israël,spbk0001149,pk036,Histoire
Abrégé de l'histoire de Port-Royal,spbk0001150,pk036,Histoire
Histoire du siège de Cythère,spbk0001152,NA,NA
Histoire d'Emilie Montague,spbk0001153,pk015,Belles-Lettres
Histoire ecclésiastique ancienne et moderne,spbk0001154,pk036,Histoire
Histoire générale et particulière de la Grèce,spbk0001155,pk036,Histoire
Histoire générale des dogmes et opinions philosophiques,spbk0001156,NA,NA
Histoire intéressante de Madame la duchesse de C***,spbk0001157,pk015,Belles-Lettres
Histoire littéraire de M. de Voltaire,spbk0001159,pk105,Science et Arts
Histoire littéraire de Genève,spbk0001160,pk015,Belles-Lettres
Histoire militaire des Suisses,spbk0001162,pk036,Histoire
Histoire naturelle de la religion,spbk0001163,NA,NA
Histoire naturelle generale et particuliere,spbk0001165,pk105,Science et Arts
Histoire navale d'Angleterre,spbk0001166,pk036,Histoire
Histoire nouvelle et impartiale d'Angleterre,spbk0001167,pk036,Histoire
Histoire philosophique et politique des isles françaises,spbk0001169,pk036,Histoire
Histoire philosophique de la religion,spbk0001174,NA,NA
Histoire (l') poétique pour l'intelligence des poètes,spbk0001178,pk036,Histoire
Histoire de la décadence et de la chute de l'Empire Romain,spbk0001180,pk036,Histoire
Histoire romaine,spbk0001181,pk036,Histoire
Histoire secrète des femmes galantes de l'antiquité,spbk0001182,NA,NA
Histoire secrète des intrigues de la France en diverses cours de l'Europe,spbk0001183,NA,NA
Histoire universelle: sacrée et profane,spbk0001184,pk036,Histoire
"Histoire universelle, Jacques Auguste de Thou",spbk0001186,pk036,Histoire
Histoire d'Irlande,spbk0001187,pk036,Histoire
Histoire généalogique de la royale maison de Savoie,spbk0001191,pk082,Jurisprudence
[Historisch Aufsätze],spbk0001193,pk036,Histoire
Friderici Hoffmanni Medicina consultatoria,spbk0001196,pk105,Science et Arts
Hommage à la vertu guerrière,spbk0001199,pk015,Belles-Lettres
Homme (de l'),spbk0001201,pk105,Science et Arts
Homme (de l') et de la femme,spbk0001202,pk105,Science et Arts
[Homme (l')],spbk0001203,pk114,Undetermined
Homme (l') aux quarante ecus,spbk0001204,pk015,Belles-Lettres
Homme dangereux,spbk0001205,pk015,Belles-Lettres
Homme (l') de lettres,spbk0001206,pk015,Belles-Lettres
Homme (l') de ma connaissance,spbk0001207,pk015,Belles-Lettres
Homme (l') dieu,spbk0001208,NA,NA
Homme (l') moral,spbk0001209,pk105,Science et Arts
Homme-sans-façon (l'),spbk0001210,pk015,Belles-Lettres
Homme (l') sauvage,spbk0001211,pk015,Belles-Lettres
Homme (l') universel,spbk0001212,pk105,Science et Arts
Homélie du pasteur Bourn,spbk0001213,pk105,Science et Arts
Honnêtetés (les) littéraires,spbk0001214,pk015,Belles-Lettres
Quinti Horatii Flacci Opera,spbk0001216,pk015,Belles-Lettres
Horoscope (l') politique de la Pologne,spbk0001217,pk036,Histoire
"Humanité (l'), poème en six chants",spbk0001218,pk015,Belles-Lettres
Hymen (l') vengé en cinq chants,spbk0001219,pk015,Belles-Lettres
"Julie, ou la nouvelle Héloïse",spbk0001220,pk015,Belles-Lettres
"Idylles, par M. Berquin",spbk0001222,pk015,Belles-Lettres
Idylles et Poëmes Champetres,spbk0001223,pk015,Belles-Lettres
Idée de l'éducation du cœur,spbk0001224,pk105,Science et Arts
Idées républicaines,spbk0001225,NA,NA
Il Decameron,spbk0001227,pk015,Belles-Lettres
Iliade d'Homère,spbk0001228,pk015,Belles-Lettres
"Imirce, ou la Fille de la nature",spbk0001229,pk015,Belles-Lettres
Imitation (l') de Jésus Christ,spbk0001230,pk106,Théologie
Imposteurs (les) démasqués,spbk0001231,pk036,Histoire
Imposture (de l') sacerdotale,spbk0001232,pk036,Histoire
Incas (les),spbk0001233,pk015,Belles-Lettres
Incas (les) ou la destruction de l'empire du Pérou par Marmontel,spbk0001234,NA,NA
Inceste avoué à un mari,spbk0001235,pk082,Jurisprudence
Recherches philosophiques et historiques sur le célibat,spbk0001236,pk105,Science et Arts
Indépendant (un) à l'ordre des avocats,spbk0001238,pk082,Jurisprudence
Infortunes (les) du jeune Chevalier de La Lande,spbk0001239,pk015,Belles-Lettres
Inoculation (l') justifiée,spbk0001240,pk105,Science et Arts
Inoculation (l') du bon sens,spbk0001241,pk036,Histoire
Institution d'un prince,spbk0001242,pk105,Science et Arts
Institutions de médecine pratique,spbk0001243,pk105,Science et Arts
Institutions de philosophie morale,spbk0001245,pk105,Science et Arts
Instructions de morale à l'usage des enfans,spbk0001246,pk105,Science et Arts
Instruction chrétienne,spbk0001248,pk106,Théologie
Instructions adressées par Sa Majesté l'impératrice de toutes les Russies,spbk0001249,pk082,Jurisprudence
Instructions importantes au peuple sur les maladies chroniques,spbk0001255,pk105,Science et Arts
Instructions pour la jeunesse,spbk0001256,pk114,Undetermined
Instruction sur l'histoire de France et romaine,spbk0001257,pk036,Histoire
Instructions sur le usage de la Houille,spbk0001258,pk105,Science et Arts
Instructions succinctes sur les accouchements,spbk0001259,pk105,Science et Arts
Instruction abregée sur la nature et l'usage de la Chaux,spbk0001260,pk105,Science et Arts
Interprète (l') apologétique et politique de la nature,spbk0001261,pk105,Science et Arts
Intolérance (l') ecclésiastique,spbk0001264,pk015,Belles-Lettres
Intrigante (l') comédie en deux actes,spbk0001266,pk015,Belles-Lettres
Intrigue (l') du cabinet,spbk0001267,pk036,Histoire
Courte introduction à la lecture des Odes de Pindare,spbk0001268,pk015,Belles-Lettres
Introduction à l'Histoire de la guerre en Allemagne,spbk0001270,pk036,Histoire
Introduction à la connaissance géographique et politique des Etats de l'Europe,spbk0001272,pk036,Histoire
Introduction à la connaissance de l'esprit humain,spbk0001273,pk105,Science et Arts
Introduction à la pratique du barreau,spbk0001274,pk082,Jurisprudence
"Irène, tragédie",spbk0001277,pk015,Belles-Lettres
Philosophische und Politische Versuche,spbk0001278,pk105,Science et Arts
Isle (l') inconnue,spbk0001279,pk015,Belles-Lettres
Isle (l') heureuse,spbk0001280,pk015,Belles-Lettres
Israël vengé,spbk0001281,pk106,Théologie
Jammabos (les),spbk0001283,pk015,Belles-Lettres
Jardin (le) potager mis à la portée de tout le monde,spbk0001284,pk105,Science et Arts
Bon (le) Jardinier,spbk0001285,pk105,Science et Arts
Jardinier (le) solitaire,spbk0001286,pk105,Science et Arts
Jardinière (la) de Vincennes,spbk0001287,pk015,Belles-Lettres
"Jardins (les), ou L'art d'embellir les paysages",spbk0001288,pk015,Belles-Lettres
Jérusalem (la) délivrée,spbk0001289,pk015,Belles-Lettres
Je veux être heureux,spbk0001290,pk106,Théologie
"Jean Hennuyer, évêque de Lisieux",spbk0001291,NA,NA
Jeannette seconde,spbk0001292,pk015,Belles-Lettres
Jeune (le) philosophe,spbk0001293,pk015,Belles-Lettres
Jeux (les) d'enfans,spbk0001294,pk015,Belles-Lettres
Jeux (les) de la petite Thalie,spbk0001295,pk015,Belles-Lettres
Jeu (le) des trois sept,spbk0001296,pk105,Science et Arts
Joseph: poëme en neuf chants,spbk0001297,pk015,Belles-Lettres
Joujou (le) des demoiselles,spbk0001298,pk015,Belles-Lettres
Journal & anecdotes interessantes du voyage de comte de Falckenstein en France,spbk0001299,NA,NA
Journal d'un voyage de Londres à Lisbonne,spbk0001301,pk036,Histoire
"Journal de physique, de chimie, d'histoire naturelle et des arts",spbk0001305,pk015,Belles-Lettres
Journal de Pierre le Grand,spbk0001306,pk036,Histoire
"Journal de médecine, chirurgie, pharmacie",spbk0001308,pk105,Science et Arts
"Journal historique, ou fastes du règne de Louis XV",spbk0001313,NA,NA
Journées (les) amusantes,spbk0001314,pk015,Belles-Lettres
Jugement du public impartial entre l'Empire et le Sacerdoce,spbk0001317,pk036,Histoire
Jugement impartial sur des lettres de la cour de Rome,spbk0001318,pk082,Jurisprudence
Julien l'Apostat,spbk0001319,pk015,Belles-Lettres
Helvetiorum [de] juribus circa sacra,spbk0001320,pk082,Jurisprudence
Jurisprudence (de la) criminelle,spbk0001321,pk082,Jurisprudence
Justification (suite de la) du sieur de Beaumarchais,spbk0001323,pk082,Jurisprudence
Justification de Beaumarchais,spbk0001324,pk082,Jurisprudence
Justification de M. Necker sur les imputations de M. de Calonne,spbk0001325,pk105,Science et Arts
Justinus De historiis Philippicis,spbk0001326,pk036,Histoire
Jésuites (les) de la maison professe de Paris en belle humeur,spbk0001327,NA,NA
Opera omnia,spbk0001328,pk106,Théologie
Kinderfreund (der) ein Wochenblatt,spbk0001329,pk015,Belles-Lettres
Kurze Abhandlung von dem öconomischen,spbk0001330,pk105,Science et Arts
Lacunes (les) de la philosophie,spbk0001331,pk105,Science et Arts
Laideur (la) aimable,spbk0001332,pk015,Belles-Lettres
Langage (le) de la raison,spbk0001333,pk106,Théologie
Von den Kranckheiten,spbk0001334,pk105,Science et Arts
Lauriers ecclésiastiques,spbk0001335,pk015,Belles-Lettres
Johann Caspar Lavaters ... moralischer Charakter,spbk0001336,pk105,Science et Arts
Vermischte Schriften,spbk0001337,pk015,Belles-Lettres
Predigten über das Buch Jonas,spbk0001338,pk106,Théologie
Sendschreiben an den Verfasser,spbk0001339,pk106,Théologie
Lebensgeschichte Tobias Knauts des Weisen,spbk0001340,pk015,Belles-Lettres
Lectures amusantes,spbk0001342,pk015,Belles-Lettres
Légende (la) joyeuse,spbk0001345,pk015,Belles-Lettres
Legs d'un père à ses filles,spbk0001346,pk105,Science et Arts
Leiden (die) des jungen Werthers,spbk0001347,pk015,Belles-Lettres
Lettre au R.P. Berthier sur le matérialisme,spbk0001349,pk105,Science et Arts
Lettres de Mademoiselle Aïssé à Madame C...,spbk0001350,pk015,Belles-Lettres
Lettre d'un théologien à l'auteur du dictionnaire des Trois siècles,spbk0001352,pk082,Jurisprudence
Lettre de M. Linguet à M. le Comte de Vergennes,spbk0001354,pk036,Histoire
Lettres de Memmius à Ciceron,spbk0001355,NA,NA
Lettre de Monseigneur l'evêque d'A*** à M. de V***,spbk0001356,pk106,Théologie
Lettre philosophique,spbk0001358,pk015,Belles-Lettres
Lettres sur la découverte de l'ancienne ville d'Herculane,spbk0001359,pk036,Histoire
Lettre sur les aveugles,spbk0001360,NA,NA
Lettre sur les panégyriques,spbk0001361,NA,NA
Lettre à Sophie,spbk0001363,NA,NA
Lettre adressée à M. Linguet,spbk0001365,pk114,Undetermined
Lettres athéniennes,spbk0001366,pk015,Belles-Lettres
Lettres aux femmes mariées,spbk0001367,pk105,Science et Arts
Lettres cabalistiques,spbk0001368,pk015,Belles-Lettres
"Lettres chinoises, indiennes et tartares",spbk0001369,pk036,Histoire
Lettres chinoises,spbk0001370,pk015,Belles-Lettres
"Amours, ou lettres d'Alexis et Justine",spbk0001371,pk015,Belles-Lettres
Lettres (les) d'Amabed,spbk0001372,pk015,Belles-Lettres
Lettres d'Elisabeth Sophie de Vallière,spbk0001373,pk015,Belles-Lettres
Lettres et épîtres amoureuses d'Héloïse,spbk0001375,pk015,Belles-Lettres
Lettres d'Yorick à Eliza et d'Eliza à Yorick,spbk0001376,pk036,Histoire
Lettre d'un citoyen du monde aux citoyens de Genève,spbk0001377,pk036,Histoire
Lettres d'un cultivateur américain,spbk0001378,pk036,Histoire
Lettre d'un ecclésiastique sur le prétendu rétablissement des jésuites dans Paris,spbk0001379,pk036,Histoire
Lettres d'un négociant à son fils,spbk0001381,pk105,Science et Arts
Lettres d'un sauvage dépaysé,spbk0001382,NA,NA
Lettres d'une Péruvienne,spbk0001384,pk015,Belles-Lettres
Lettres d'une dame angloise,spbk0001385,pk015,Belles-Lettres
Lettres de mademoiselle de Boismiran,spbk0001386,pk015,Belles-Lettres
Lettre de Mylord Bolinbroke,spbk0001387,pk105,Science et Arts
Lettres à Eugénie,spbk0001388,pk105,Science et Arts
Lettre de feu M. Guillaume Hunter,spbk0001390,pk105,Science et Arts
Lettre de Joly de Saint-Valier,spbk0001393,pk015,Belles-Lettres
Lettres de feu Mr. de Haller contre M. de Voltaire,spbk0001395,pk106,Théologie
Lettres de Mylord Rivers à Sir Charles Cardigan,spbk0001397,pk015,Belles-Lettres
Lettres de Ninon de L'Enclos au marquis de Sevigné,spbk0001399,pk015,Belles-Lettres
Lettres de Mme la marquise de Pompadour,spbk0001400,pk036,Histoire
[Lettres de Siranne],spbk0001401,pk114,Undetermined
Lettre de Thrasibule à Leucippe,spbk0001402,pk105,Science et Arts
Lettres de deux amans habitans de Lyon,spbk0001405,pk015,Belles-Lettres
Lettre de M. l'abbé Fortis à mylord comte de Bute,spbk0001406,pk036,Histoire
Lettres sur l'amour de la patrie,spbk0001407,pk105,Science et Arts
Lettres de la duchesse de *** au duc de ***,spbk0001408,pk015,Belles-Lettres
Lettres de Madame la comtesse de L*** à Monsieur le comte de R***,spbk0001409,pk015,Belles-Lettres
Lettres de la Marquise de M... au Comte de R...,spbk0001411,pk015,Belles-Lettres
Recueil des lettres de Madame la Marquise de Sevigné,spbk0001412,pk015,Belles-Lettres
Lettres de Milady Juliette Catesby à Milady Henriette Campley,spbk0001413,pk015,Belles-Lettres
Lettres de mistriss Fanni Butlerd,spbk0001414,pk015,Belles-Lettres
Lettres de Mr. Tissot sur divers sujets de médecine,spbk0001415,pk105,Science et Arts
Lettres de Monsieur le Chevalier de Boufflers,spbk0001416,pk036,Histoire
Lettres du Pape Clément XIV [Ganganelli],spbk0001417,pk036,Histoire
Lettres du comte Algarotti sur la Russie,spbk0001418,pk036,Histoire
Lettres familières de M. Winckelmann,spbk0001420,pk105,Science et Arts
Lettres familières de M. le président de Montesquieu,spbk0001421,pk015,Belles-Lettres
"Lettre historique, politique et critique de milord Gaz à milord Méphitique",spbk0001422,pk105,Science et Arts
Lettres historiques et dogmatiques sur les jubilés et les indulgences,spbk0001423,NA,NA
Lettres historiques et galantes de Mme de C...,spbk0001424,NA,NA
Lettres iroquoises,spbk0001425,NA,NA
Lettres juives,spbk0001426,pk015,Belles-Lettres
Lettres Neuchâteloises,spbk0001427,pk015,Belles-Lettres
Nouvelles lettres sur l'éducation,spbk0001428,pk105,Science et Arts
Lettres originales de Madame la comtesse du Barry,spbk0001429,pk036,Histoire
"Lettres d'un voyageur anglois sur la France, la Suisse et l'Allemagne",spbk0001430,pk036,Histoire
Lettres persanes,spbk0001431,pk015,Belles-Lettres
Lettres philosophiques sur Saint Paul,spbk0001432,NA,NA
Lettres philosophiques sur l'origine des préjugés,spbk0001433,NA,NA
"Lettres secrètes, sur l'état actuel de la religion et du clergé de France",spbk0001437,NA,NA
"Lettres sur la France, l'Angleterre et l'Italie",spbk0001438,pk036,Histoire
Lettres sur la législation,spbk0001440,pk082,Jurisprudence
Lettre sur la philosophie nouvelle et sur les principes de l'Essai de la philosophie,spbk0001441,pk105,Science et Arts
Lettres sur la religion essentielle à l'homme,spbk0001442,NA,NA
Lettres sur la Sicile et sur l'île de Malthe,spbk0001443,pk036,Histoire
Lettres sur le Dannemarc,spbk0001444,pk036,Histoire
Lettres sur le désir de plaire,spbk0001445,pk015,Belles-Lettres
Lettres modernes avec leur réponses,spbk0001446,pk015,Belles-Lettres
Lettre à monsieur Zimmermann,spbk0001447,pk105,Science et Arts
Lettres à M. l'Abbé Raynal,spbk0001448,pk036,Histoire
Lettres à une princesse d'Allemagne,spbk0001449,pk105,Science et Arts
Lettres écrites de la montagne,spbk0001450,pk105,Science et Arts
"Lettres écrites de Suisse, d'Italie, de Sicile et de Malthe",spbk0001451,pk036,Histoire
"Lettres, mémoires et négociations particulières du chevalier d'Eon",spbk0001452,NA,NA
Georgii Pasoris Lexicon Graeco-Latinum in Novum Testamentum,spbk0001453,pk106,Théologie
Leçons (les) de la sagesse,spbk0001454,pk105,Science et Arts
Leçons de navigation,spbk0001455,pk105,Science et Arts
Leçons élémentaires de mathématiques,spbk0001456,pk105,Science et Arts
Leçons philosophiques,spbk0001457,pk105,Science et Arts
"Liaisons (les) dangereuses ou Lettres recueillies dans une société, & publiées pour l'instruction de quelques autres",spbk0001458,pk015,Belles-Lettres
Liberté (la) de conscience resserrée dans ses bornes légitimes,spbk0001460,NA,NA
Ingénu (l'),spbk0001461,pk015,Belles-Lettres
Systema naturae,spbk0001462,pk105,Science et Arts
Liste générale des postes de France,spbk0001463,pk105,Science et Arts
Littérature (de la) allemande,spbk0001464,pk015,Belles-Lettres
[Liturgie pour les protestants de France],spbk0001467,pk106,Théologie
Livre (le) de tous les ages,spbk0001468,pk105,Science et Arts
Leçons de logique,spbk0001469,pk105,Science et Arts
Logique à mon usage,spbk0001470,pk105,Science et Arts
Loix de minos,spbk0001471,pk015,Belles-Lettres
Loisirs (les) d'un ministre d'Etat,spbk0001472,pk036,Histoire
Loisirs (les) du chevalier d'Eon de Beaumont,spbk0001473,pk105,Science et Arts
Loix (des) civiles relativement à la propriété des biens,spbk0001474,pk082,Jurisprudence
Loix naturelles de l'agriculture et de l'ordre social,spbk0001475,pk105,Science et Arts
Londres,spbk0001476,pk036,Histoire
"Loto (le), poème en 3 chants",spbk0001477,pk015,Belles-Lettres
"Concubitus sine Lucina, ou le plaisir sans peine",spbk0001478,pk015,Belles-Lettres
Lucrèce,spbk0001479,pk015,Belles-Lettres
Lusiade (la) de Camoëns,spbk0001480,pk015,Belles-Lettres
Lyonnoises (les) protectrices des États souverains et conservatrices du genre humain,spbk0001482,pk105,Science et Arts
Légitimité de l'usure légale,spbk0001487,NA,NA
Léonard et Gertrude,spbk0001488,pk015,Belles-Lettres
Petit (le) magasin des enfans,spbk0001489,pk015,Belles-Lettres
[Magasin des enfans],spbk0001492,pk015,Belles-Lettres
Magasin des enfans & des adolescentes,spbk0001493,NA,NA
"Magasin des enfans & des adolescentes ou dialogues entre une sage gouvernante avec ses éleves, par Mad. le Prince de Beaumont, nouvelle édition corigée, ornée de figures",spbk0001494,NA,NA
"Magasin des enfans, par M. le prince de Beaumont, 4 parties in-8.",spbk0001495,NA,NA
"Magasin des enfans, par la même, suivi des conversations entre la jeune Emilie & sa mere",spbk0001496,NA,NA
Magasin des enfants ou Dialogues entre une sage gouvernante et plusiers de ses élèves,spbk0001497,NA,NA
Magasin des pauvres artisans,spbk0001498,pk015,Belles-Lettres
Nouvelle (la) maison rustique,spbk0001501,pk105,Science et Arts
[Maître en fait-d'armes],spbk0001503,pk105,Science et Arts
Maladies des enfants,spbk0001504,pk105,Science et Arts
Maladies (des) des gens de cour,spbk0001505,pk105,Science et Arts
Malheureux (le) imaginaire,spbk0001507,pk015,Belles-Lettres
Malheurs (les) de la jeune Emélie,spbk0001509,pk015,Belles-Lettres
Véritable (la) manière d'instruire les sourds et muets,spbk0001511,pk105,Science et Arts
Manière (de la) d'ecrire l'histoire,spbk0001512,pk036,Histoire
Manière de bien penser dans les ouvrages d'esprit,spbk0001513,pk105,Science et Arts
Manière de faire le pain de pommes de terre,spbk0001514,pk105,Science et Arts
Mannequins (les),spbk0001515,pk015,Belles-Lettres
Manuel (le) des dames de charité,spbk0001518,pk105,Science et Arts
Manuel de l'arboriste et du forestier belgiques,spbk0001520,pk105,Science et Arts
Manuel de l'honnête homme,spbk0001521,pk105,Science et Arts
Manuel de la jeunesse,spbk0001522,pk106,Théologie
Manuel (le) des artistes et des amateurs,spbk0001524,pk105,Science et Arts
Manuel des champs,spbk0001525,pk105,Science et Arts
Manuel des jeunes orateurs,spbk0001526,pk015,Belles-Lettres
Manuel du jeune chirurgien,spbk0001527,pk105,Science et Arts
Manuel du Philosophe,spbk0001528,pk105,Science et Arts
Manuel gaillard,spbk0001529,NA,NA
Manuel moral,spbk0001530,pk105,Science et Arts
Manuel pour les savans et les curieux qui voyagent en Suisse,spbk0001531,pk105,Science et Arts
Manuel typographique,spbk0001532,pk105,Science et Arts
Margot la ravaudeuse,spbk0001534,pk015,Belles-Lettres
Mari sentimental,spbk0001535,pk015,Belles-Lettres
"Folle (la) journée, ou le mariage de Figaro",spbk0001536,pk015,Belles-Lettres
"Mariane, ou, La nouvelle Pamela",spbk0001537,pk015,Belles-Lettres
Maréchal (le) de poche,spbk0001538,pk105,Science et Arts
Matière médicale,spbk0001539,pk105,Science et Arts
Matinées (les) liégeoises,spbk0001540,pk015,Belles-Lettres
Matinées (les) du roi de Prusse,spbk0001541,pk105,Science et Arts
Deux (les) matrones,spbk0001543,pk015,Belles-Lettres
Merkwürdige Rechtshändel,spbk0001544,pk082,Jurisprudence
Maximes et réflexions morales,spbk0001545,pk105,Science et Arts
Maximes (les) du gouvernement monarchique,spbk0001547,pk105,Science et Arts
Maximes de conduite pour une jeune personne,spbk0001548,pk105,Science et Arts
Maximes du droit public français,spbk0001550,NA,NA
Maximes politiques et philosophiques du Grand Frédéric,spbk0001551,pk105,Science et Arts
Méchant par air,spbk0001552,pk015,Belles-Lettres
Médecine domestique,spbk0001553,pk105,Science et Arts
Médecine expérimentale,spbk0001554,pk105,Science et Arts
"Mélanges de littérature, d'histoire et de philosophie",spbk0001555,pk015,Belles-Lettres
Mélanges de poésie et de littérature,spbk0001556,pk015,Belles-Lettres
"Mélanges gais, intéressans et philosophiques",spbk0001558,pk114,Undetermined
[Mémoire de Chavagnac],spbk0001559,pk082,Jurisprudence
Mémoires pour servir à l'histoire de Frédéric le Grand,spbk0001560,pk036,Histoire
Mémoire à présenter à M. le contrôleur général,spbk0001561,pk105,Science et Arts
Mémoires de Mme la Bonne de Batteville,spbk0001562,pk015,Belles-Lettres
Memoire sur la Compagnie des Indes,spbk0001563,pk105,Science et Arts
Mémoire sur la mouture des grains,spbk0001564,pk105,Science et Arts
