Cluster ID,confidence_score,UUID,super_book_code,primary_author_name,full_book_title,stated_publication_years,illegal_date,canonical_UUID,canonical_super_book_code,canonical_primary_author_name,canonical_full_book_title,canonical_stated_publication_years,canonical_illegal_date
1,0.20840949,NA,spbk0000105,"Rochette de La Morlière, Charles-Jacques-Louis-Auguste","Angola, histoire indienne: ouvrage sans vraisemblance",NA,NA,b'',b'spbk0000105',"b'Rochette de La Morli\xc3\xa8re, Charles-Jacques-Louis-Auguste'","b'Angola, histoire indienne; ouvrage sans vrai-semblance'",b'1785',b''
354,,NA,spbk0000106,NA,"Anleitung zu dem Landbau, nach Erfahrungen",1782,NA,,,,,,
355,,NA,spbk0000107,"Malarme, Charlotte de Bournon [comtesse de]","Anna Rose-Tree, histoire anglaise par Mad. Malarme",1785,NA,,,,,,
2,0.24239719,NA,spbk0000108,"Linguet, Simon-Nicolas-Henri","Annales civiles, politiques et littéraires",1778-1785,NA,b'',b'spbk0000108',"b'Linguet, Simon-Nicolas-Henri'","b'Annales civiles, politiques et litt\xc3\xa9raires'",b'1778-1785',b''
2,0.24239719,NA,spbk0000108,"Linguet, Simon-Nicolas-Henri","Annales civiles, politiques et littéraires",NA,NA,b'',b'spbk0000108',"b'Linguet, Simon-Nicolas-Henri'","b'Annales civiles, politiques et litt\xc3\xa9raires'",b'1778-1785',b''
356,,NA,spbk0000109,"Voltaire, François Marie Arouet",Annales de l'Empire depuis Charlemagne jusqu'à nos jours,1780,NA,,,,,,
357,,NA,spbk0000109,"Voltaire, François Marie Arouet",Annales de l'Empire depuis Charlemagne,1785,NA,,,,,,
358,,NA,spbk0000110,"Genlis, Stéphanie Félicité [comtesse de]","Annales de la vertu, ou Cours d'histoire à l'usage des jeunes personnes",NA,NA,,,,,,
359,,NA,spbk0000111,"Macquer, Philippe","Annales romaines, ou Abrégé chronologique de l'histoire romaine, depuis la fondation de Rome jusqu'aux empereurs",1756,NA,,,,,,
360,,NA,spbk0000112,"Castel de Saint-Pierre, Charles-Irénée","Annales politiques de feu monsieur Charles Irénée Castel, abbé de St. Pierre, de l'Académie françoise",1767,NA,,,,,,
3,0.23843794,NA,spbk0000113,"Arnaud, François-Thomas-Marie de Baculard [d']",Anne Bell: histoire anglaise  ,1773,NA,b'',b'spbk0000113',"b""Arnaud, Fran\xc3\xa7ois-Thomas-Marie de Baculard [d']""",b'Anne Bell: histoire anglaise  ',b'1773',b''
3,0.23843794,NA,spbk0000113,"Arnaud, François-Thomas-Marie de Baculard [d']",Anne Bell: histoire anglaise ,1770,NA,b'',b'spbk0000113',"b""Arnaud, Fran\xc3\xa7ois-Thomas-Marie de Baculard [d']""",b'Anne Bell: histoire anglaise  ',b'1773',b''
361,,NA,spbk0000114,"Ardène, Jean-Paul de Rome [d']",Année champêtre. Partie qui traite de ce qu'il convient de faire chaque mois dans le potager,1770,NA,,,,,,
362,,NA,spbk0000115,NA,Année galante ou Etrenne à l'amour. Contes! Enrichis de figures et d'ariettes,NA,NA,,,,,,
363,,NA,spbk0000116,"Fréron, Élie-Catherine",Année littéraire,NA,NA,,,,,,
364,,NA,spbk0000118,NA,Anti-Chartreux (l'): Poême Chrétien,1786,NA,,,,,,
365,,NA,spbk0000119,"Frederick II, King of Prussia","Anti-Machiavel, ou Essai de critique sur le Prince de Machiavel",NA,NA,,,,,,
366,,NA,spbk0000121,"Renoult, Jean-Baptiste",Antiquité (l') et la perpétuité de la religion protestante,1772,NA,,,,,,
367,,NA,spbk0000124,"Wall, Anton","Antonie, ou l'auteur de Caroline, suivie de plusieurs pieces intéressantes, traduites de l'allemand, par Madame la chanoinesse de P.",1787,NA,,,,,,
368,,NA,spbk0000125,"Servan, Joseph-Michel-Antoine",Apologie de la Bastille pour servir de réponse aux Mémoires de M. Linguet sur la Bastille... par un homme en pleine campagne,1784,NA,,,,,,
369,,NA,spbk0000126,"Salchli, Jean",Apologie de l'histoire du peuple juif suivant les auteurs sacrés,1770,NA,,,,,,
370,,NA,spbk0000127,NA,"Apologie du marquis de Fogliani, ci-devant vice roi de Naples",1774,NA,,,,,,
371,,NA,spbk0000129,"Jouvency, Joseph de","Appendix de Diis et heroibus poeticis, ou abrégé de l'histoire poétique",NA,NA,,,,,,
372,,NA,spbk0000130,"La Roche, Charles [de]","Architecture hydraulique. Canal des deux mers, par M. de La Roche",1783,NA,,,,,,
373,,NA,spbk0000133,"Tissot, Samuel Auguste André David","Aristide, ou le citoyen",1766-1767,NA,,,,,,
374,,NA,spbk0000137,"Le Gendre, François","Arithmétique (l') en sa perfection, mise en pratique selon l'usage des financiers, banquiers et marchands... avec un traité de géométrie pratique appliquée à l'arpentage et au toisé... et un abrégé d'algèbre...; par F. Le Gendre",1779,NA,,,,,,
375,,NA,spbk0000137,"Le Gendre, François","Arithmétique (l') en sa perfection, mise en pratique selon l'usage des financiers, banquiers et marchands",NA,NA,,,,,,
376,,NA,spbk0000138,"Guigoud-Pigale, Pierre","Arlequin à Genève: comédie en vers libres et en trois actes, par M. P. G. auteur du baquet magnétique",1785,NA,,,,,,
377,,NA,spbk0000140,"Du Laurens, Henri-Joseph",Arrétin (l') moderne,NA,NA,,,,,,
378,,NA,spbk0000141,NA,Art (l') d'aimer et le remède d'amour d'Ovide,NA,NA,,,,,,
379,,NA,spbk0000142,"Gouge de Cessières, François-Étienne","Art (l') d'aimer, nouveau poëme en six chants, par Monsieur *****. Edition fidelle & complette, enrichie de figures",1775,NA,,,,,,
380,,NA,spbk0000142,"Gouge de Cessières, François-Étienne","Art (l') d'aimer, nouveau poëme en six chants",1780,NA,,,,,,
